CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),21/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),22/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),23/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),24/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),25/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),26/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),27/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),28/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),29/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),30/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),31/01/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),01/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),02/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),03/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),04/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),05/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),06/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),07/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),08/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),09/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),10/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),11/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),12/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),13/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),14/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),15/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),16/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),17/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),18/02/2017 00:00,mm,0,Definitivo
29045190,AEROPUERTO E. CORTISSOZ - AUT [29045190],PRECIPITACION,Día pluviométrico (convencional),19/02/2017 00:00,mm,0,Definitivo
