CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,18/03/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,19/03/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,20/03/2017 00:00,degC,23.8,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,21/03/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,22/03/2017 00:00,degC,22.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,23/03/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,24/03/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,25/03/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,26/03/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,27/03/2017 00:00,degC,24.8,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,28/03/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,29/03/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,30/03/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,31/03/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,01/04/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,02/04/2017 00:00,degC,23.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,03/04/2017 00:00,degC,23.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,04/04/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,05/04/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,06/04/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,07/04/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,08/04/2017 00:00,degC,24.8,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,09/04/2017 00:00,degC,24.8,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,10/04/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,11/04/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,12/04/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,13/04/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,14/04/2017 00:00,degC,25.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,15/04/2017 00:00,degC,26.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,16/04/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,17/04/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,18/04/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,19/04/2017 00:00,degC,24.8,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,20/04/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,21/04/2017 00:00,degC,22,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,22/04/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,23/04/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,24/04/2017 00:00,degC,25.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,25/04/2017 00:00,degC,25.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,26/04/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,27/04/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,28/04/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,29/04/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,30/04/2017 00:00,degC,25.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,01/05/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,02/05/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,03/05/2017 00:00,degC,25.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,04/05/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,05/05/2017 00:00,degC,25.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,06/05/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,07/05/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,08/05/2017 00:00,degC,23.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,09/05/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,10/05/2017 00:00,degC,23.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,11/05/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,12/05/2017 00:00,degC,21,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,13/05/2017 00:00,degC,22.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,14/05/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,15/05/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,16/05/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,17/05/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,18/05/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,19/05/2017 00:00,degC,23.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,20/05/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,21/05/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,22/05/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,23/05/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,24/05/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,25/05/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,26/05/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,27/05/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,28/05/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,29/05/2017 00:00,degC,25,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,30/05/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,31/05/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,02/06/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,03/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,04/06/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,05/06/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,06/06/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,07/06/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,08/06/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,09/06/2017 00:00,degC,22.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,10/06/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,11/06/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,12/06/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,13/06/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,14/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,15/06/2017 00:00,degC,26,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,16/06/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,17/06/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,18/06/2017 00:00,degC,22.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,19/06/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,20/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,21/06/2017 00:00,degC,23.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,22/06/2017 00:00,degC,23,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,23/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,24/06/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,25/06/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,26/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,27/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,28/06/2017 00:00,degC,24.6,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,29/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,30/06/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,01/07/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,02/07/2017 00:00,degC,24.2,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,03/07/2017 00:00,degC,21.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,04/07/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,05/07/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,06/07/2017 00:00,degC,24,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,07/07/2017 00:00,degC,24.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,08/07/2017 00:00,degC,23.4,Definitivo
29045110,JUAN DE ACOSTA [29045110],TEMPERATURA,Temperatura mínima diaria,09/07/2017 00:00,degC,24.6,Definitivo
