,año_semana,Femenino,Masculino,Adolescencia,Adulto,Adulto mayor,Ancianidad,Infancia,Menor de 1 año,Primera infancia,Afrocolombiano,Indígena,Otro,Rom,Contributivo,Especial,Excepción,Indeterminado,No asegurado,Subsidiado,Clasico,Grave,Conf. por laboratorio,Conf. por nexo,Probable,No,Si,Fallecido,Vivo,Cabecera municipal,Centro Poblado,Rural disperso,BARRANQUILLA,año,semana
12,2017_14,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,1,1,1,0,2,2,0,0,2,2017,14
13,2017_15,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,2017,15
14,2017_16,1,2,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,1,0,2,2,1,0,3,3,0,0,3,2017,16
15,2017_17,2,4,2,0,1,0,1,0,2,1,0,5,0,2,1,1,0,0,2,6,0,3,0,3,1,5,0,6,6,0,0,6,2017,17
16,2017_18,5,9,1,4,0,0,4,1,4,0,0,14,0,5,1,1,0,0,7,14,0,4,0,10,11,3,0,14,14,0,0,14,2017,18
17,2017_19,1,3,0,1,0,0,0,0,3,0,0,4,0,0,1,1,0,0,2,4,0,1,0,3,2,2,0,4,4,0,0,4,2017,19
18,2017_20,9,3,2,5,1,0,3,0,1,0,0,12,0,3,0,1,0,0,8,12,0,0,1,11,11,1,0,12,12,0,0,12,2017,20
19,2017_21,1,5,1,0,0,0,1,0,4,0,0,6,0,3,0,1,0,0,2,5,1,0,0,6,3,3,0,6,6,0,0,6,2017,21
20,2017_22,3,2,0,2,1,0,1,0,1,0,0,5,0,4,0,0,0,0,1,3,2,2,0,3,3,2,0,5,5,0,0,5,2017,22
21,2017_23,1,4,0,0,1,0,2,1,1,0,0,5,0,4,0,1,0,0,0,5,0,3,0,2,3,2,0,5,5,0,0,5,2017,23
22,2017_24,1,2,1,1,0,0,0,0,1,0,0,3,0,2,0,0,0,0,1,3,0,3,0,0,0,3,0,3,3,0,0,3,2017,24
23,2017_25,2,2,1,1,1,0,0,0,1,0,0,4,0,1,0,1,0,0,2,4,0,2,0,2,1,3,0,4,4,0,0,4,2017,25
24,2017_26,2,4,2,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,6,6,0,4,0,2,0,6,0,6,6,0,0,6,2017,26
25,2017_27,4,6,4,2,1,0,2,1,0,0,0,10,0,4,1,0,0,2,3,9,1,8,1,1,1,9,0,10,10,0,0,10,2017,27
26,2017_28,4,3,3,3,0,0,0,0,1,0,0,7,0,6,1,0,0,0,0,7,0,3,0,4,4,3,0,7,7,0,0,7,2017,28
27,2017_29,3,4,3,2,1,0,1,0,0,0,0,7,0,3,0,0,0,0,4,7,0,3,0,4,1,6,0,7,7,0,0,7,2017,29
28,2017_30,1,3,3,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,2,0,2,1,3,0,4,4,0,0,4,2017,30
29,2017_31,9,3,4,5,0,0,3,0,0,0,0,12,0,7,0,1,0,0,4,11,1,6,0,6,5,7,0,12,12,0,0,12,2017,31
30,2017_32,10,4,4,7,0,0,0,0,3,0,0,14,0,8,0,0,0,0,6,14,0,2,0,12,7,7,0,14,14,0,0,14,2017,32
31,2017_33,5,6,5,3,1,0,1,0,1,0,0,11,0,6,0,1,0,0,4,11,0,4,0,7,7,4,0,11,11,0,0,11,2017,33
32,2017_34,6,5,6,0,1,0,2,0,2,0,0,11,0,6,1,0,0,0,4,9,2,6,1,4,3,8,0,11,11,0,0,11,2017,34
33,2017_35,3,3,3,2,0,0,0,0,1,0,0,6,0,4,0,0,0,0,2,5,1,2,0,4,2,4,0,6,6,0,0,6,2017,35
34,2017_36,8,12,6,9,0,0,3,0,2,0,0,20,0,12,0,1,0,1,6,19,1,9,0,11,7,13,0,20,20,0,0,20,2017,36
35,2017_37,7,12,7,7,0,0,4,0,1,0,0,19,0,14,0,0,0,0,5,19,0,9,0,10,6,13,0,19,19,0,0,19,2017,37
36,2017_38,9,11,14,2,1,0,2,0,1,0,0,20,0,9,1,0,0,0,10,18,2,13,0,7,5,15,0,20,20,0,0,20,2017,38
37,2017_39,10,11,10,4,1,0,3,0,3,0,0,21,0,11,0,0,0,0,10,19,2,10,0,11,5,16,0,21,21,0,0,21,2017,39
38,2017_40,6,5,4,5,1,0,1,0,0,0,0,11,0,7,0,0,0,0,4,11,0,5,0,6,2,9,0,11,11,0,0,11,2017,40
39,2017_41,14,9,10,9,0,0,1,0,3,0,0,23,0,5,0,2,1,1,14,22,1,8,0,15,5,18,0,23,23,0,0,23,2017,41
40,2017_42,8,17,9,7,0,0,6,0,3,0,0,25,0,12,0,1,0,1,11,25,0,16,0,9,7,18,0,25,25,0,0,25,2017,42
41,2017_43,19,13,14,11,1,0,5,0,1,1,0,31,0,21,0,1,0,1,9,31,1,16,0,16,9,23,0,32,32,0,0,32,2017,43
42,2017_44,13,16,13,9,0,2,4,0,1,0,0,29,0,18,0,0,0,0,11,27,2,17,0,12,9,20,0,29,29,0,0,29,2017,44
43,2017_45,12,14,9,6,2,0,6,0,3,0,0,26,0,14,0,0,0,0,12,25,1,15,0,11,15,11,0,26,26,0,0,26,2017,45
44,2017_46,18,26,19,18,0,0,6,0,1,0,0,43,1,24,2,0,0,0,18,42,2,25,0,19,18,26,1,43,43,1,0,44,2017,46
45,2017_47,10,16,12,7,0,0,4,0,3,1,0,25,0,15,0,1,1,0,9,25,1,15,0,11,8,18,0,26,26,0,0,26,2017,47
46,2017_48,20,16,13,12,2,1,3,0,5,1,0,35,0,23,0,0,1,1,11,36,0,19,1,16,8,28,0,36,36,0,0,36,2017,48
47,2017_49,11,20,10,9,0,0,9,0,3,1,0,30,0,11,0,0,0,0,20,30,1,19,0,12,7,24,0,31,31,0,0,31,2017,49
48,2017_50,27,24,21,18,1,0,6,0,5,2,0,49,0,33,1,0,0,3,14,50,1,28,0,23,19,32,0,51,51,0,0,51,2017,50
49,2017_51,25,22,18,12,0,0,9,0,8,1,0,46,0,18,0,1,0,1,27,45,2,25,0,22,10,37,0,47,47,0,0,47,2017,51
50,2017_52,14,24,19,12,1,0,3,0,3,1,0,37,0,20,0,1,1,0,16,36,2,24,0,14,10,28,0,38,38,0,0,38,2017,52
51,2018_1,24,22,23,17,0,0,6,0,0,1,0,45,0,27,0,0,1,1,17,44,2,31,0,15,22,24,0,46,45,1,0,46,2018,1
52,2018_2,26,38,32,20,1,0,8,0,3,0,0,63,1,35,1,1,2,2,23,63,1,26,0,38,33,31,0,64,64,0,0,64,2018,2
53,2018_3,18,19,16,7,0,0,8,0,6,0,0,36,1,21,0,2,0,0,14,37,0,14,0,23,14,23,0,37,36,0,1,37,2018,3
54,2018_4,13,14,12,8,0,0,5,0,2,1,0,26,0,15,0,0,0,3,9,26,1,16,0,11,10,17,0,27,27,0,0,27,2018,4
55,2018_5,11,10,9,7,1,0,1,0,3,0,0,21,0,15,0,0,0,0,6,21,0,12,0,9,10,11,0,21,21,0,0,21,2018,5
56,2018_6,12,11,10,6,0,0,7,0,0,1,0,22,0,15,0,1,0,0,7,23,0,12,0,11,11,12,0,23,23,0,0,23,2018,6
57,2018_7,14,7,7,9,0,0,2,0,3,0,0,20,1,13,0,0,0,1,7,21,0,9,0,12,11,10,0,21,21,0,0,21,2018,7
58,2018_8,5,9,4,3,1,0,4,0,2,0,0,14,0,8,0,0,0,0,6,14,0,8,1,5,4,10,0,14,14,0,0,14,2018,8
59,2018_9,6,11,12,3,1,0,1,0,0,1,0,16,0,4,1,0,0,0,12,16,1,5,1,11,3,14,0,17,17,0,0,17,2018,9
60,2018_10,6,8,6,4,1,1,1,0,1,0,0,14,0,9,0,0,0,1,4,14,0,5,0,9,4,10,0,14,14,0,0,14,2018,10
61,2018_11,3,10,5,7,0,0,1,0,0,0,0,13,0,9,0,0,0,0,4,13,0,8,0,5,6,7,0,13,13,0,0,13,2018,11
62,2018_12,4,8,5,3,0,0,2,2,0,0,0,12,0,4,2,0,0,0,6,12,0,5,0,7,5,7,0,12,12,0,0,12,2018,12
63,2018_13,4,3,4,1,0,0,1,1,0,0,0,7,0,5,1,0,0,0,1,7,0,1,0,6,3,4,0,7,7,0,0,7,2018,13
64,2018_14,3,3,1,4,0,0,1,0,0,0,0,6,0,4,0,1,0,0,1,6,0,2,0,4,2,4,0,6,6,0,0,6,2018,14
65,2018_15,5,3,2,2,0,0,2,0,2,0,0,8,0,3,0,2,0,0,3,8,0,4,0,4,3,5,0,8,8,0,0,8,2018,15
66,2018_16,3,7,4,3,0,0,2,0,1,0,0,10,0,8,0,0,0,1,1,10,0,6,0,4,5,5,0,10,10,0,0,10,2018,16
67,2018_17,2,7,0,3,1,0,2,0,3,0,0,9,0,7,0,0,0,0,2,9,0,3,0,6,7,2,0,9,9,0,0,9,2018,17
68,2018_18,2,5,4,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,4,7,0,2,0,5,2,5,0,7,7,0,0,7,2018,18
69,2018_19,3,2,1,2,0,0,1,0,1,0,0,5,0,4,0,0,0,1,0,5,0,2,0,3,3,2,0,5,5,0,0,5,2018,19
70,2018_20,3,7,3,4,1,0,2,0,0,0,0,10,0,7,0,0,0,0,3,10,0,5,1,4,3,7,0,10,10,0,0,10,2018,20
71,2018_21,3,3,4,2,0,0,0,0,0,0,0,6,0,3,0,1,0,0,2,6,0,1,0,5,4,2,0,6,6,0,0,6,2018,21
72,2018_22,14,10,8,7,1,0,3,0,5,0,0,24,0,17,0,2,0,0,5,24,0,7,1,16,14,10,0,24,24,0,0,24,2018,22
73,2018_23,11,10,9,4,0,0,3,0,5,0,0,21,0,11,1,1,1,1,6,21,0,13,0,8,7,14,0,21,21,0,0,21,2018,23
74,2018_24,8,12,5,9,1,0,4,1,0,0,0,20,0,13,0,0,0,1,6,20,0,11,0,9,6,14,0,20,20,0,0,20,2018,24
75,2018_25,15,13,11,11,2,0,1,0,3,1,0,27,0,18,0,0,0,0,10,28,0,16,0,12,12,16,0,28,28,0,0,28,2018,25
76,2018_26,14,13,12,8,0,0,3,0,4,0,0,27,0,15,1,1,0,0,10,26,1,11,1,15,8,19,0,27,27,0,0,27,2018,26
77,2018_27,23,16,19,6,0,0,13,0,1,0,0,39,0,13,1,1,0,1,23,38,1,15,0,24,10,29,0,39,39,0,0,39,2018,27
78,2018_28,24,26,19,18,3,0,7,1,2,1,0,49,0,27,0,2,0,1,20,48,2,24,0,26,19,31,0,50,50,0,0,50,2018,28
79,2018_29,22,17,12,10,1,0,11,0,5,0,0,39,0,23,0,2,0,1,13,38,1,26,0,13,11,28,0,39,39,0,0,39,2018,29
80,2018_30,18,16,17,6,0,0,9,0,2,1,0,33,0,24,0,0,0,0,10,33,1,24,0,10,12,22,0,34,34,0,0,34,2018,30
81,2018_31,25,16,16,9,0,0,12,1,3,0,0,41,0,25,1,0,0,0,15,40,1,22,0,19,14,27,0,41,41,0,0,41,2018,31
82,2018_32,23,22,18,9,0,0,12,0,6,0,0,45,0,25,0,2,1,0,17,45,0,29,0,16,17,28,0,45,45,0,0,45,2018,32
83,2018_33,21,14,25,5,0,0,4,0,1,0,0,35,0,25,0,0,0,0,10,35,0,19,0,16,13,22,0,35,35,0,0,35,2018,33
84,2018_34,17,18,12,13,0,0,4,0,6,0,0,35,0,17,0,1,0,0,17,34,1,18,0,17,16,19,1,34,35,0,0,35,2018,34
85,2018_35,7,14,13,4,0,0,3,0,1,0,0,21,0,12,1,0,0,0,8,21,0,8,0,13,6,15,0,21,21,0,0,21,2018,35
86,2018_36,15,13,7,10,1,0,4,1,5,0,0,28,0,16,0,0,0,1,11,28,0,11,1,16,14,14,0,28,28,0,0,28,2018,36
87,2018_37,20,17,14,15,0,0,6,0,2,0,0,37,0,20,0,0,1,0,16,36,1,16,0,21,15,22,0,37,37,0,0,37,2018,37
88,2018_38,11,13,8,13,0,0,1,0,2,0,0,24,0,14,0,0,1,0,9,23,1,10,2,12,8,16,0,24,24,0,0,24,2018,38
89,2018_39,18,14,15,5,2,0,6,0,4,0,0,32,0,16,0,2,1,3,10,32,0,10,0,22,13,19,0,32,32,0,0,32,2018,39
90,2018_40,19,14,13,10,0,0,7,0,3,0,0,33,0,20,2,0,0,0,11,33,0,19,0,14,6,27,0,33,33,0,0,33,2018,40
91,2018_41,14,18,16,6,2,0,5,0,3,0,0,32,0,18,1,1,0,1,11,31,1,13,0,19,10,22,0,32,32,0,0,32,2018,41
92,2018_42,20,23,25,7,0,0,4,0,7,1,0,42,0,25,1,0,0,1,16,42,1,24,0,19,14,29,0,43,43,0,0,43,2018,42
93,2018_43,20,19,15,12,1,0,7,0,4,0,0,38,1,24,0,1,1,0,13,38,1,24,0,15,11,28,0,39,39,0,0,39,2018,43
94,2018_44,10,32,21,7,3,0,11,0,0,0,0,41,1,18,0,0,0,1,23,41,1,18,0,24,8,34,0,42,42,0,0,42,2018,44
95,2018_45,23,25,26,10,1,0,5,3,3,1,0,47,0,31,0,0,0,0,17,47,1,28,0,20,14,34,0,48,48,0,0,48,2018,45
96,2018_46,28,39,28,17,1,0,15,0,6,0,0,67,0,45,0,0,0,1,21,67,0,37,0,30,21,46,0,67,67,0,0,67,2018,46
97,2018_47,39,44,38,21,0,0,15,0,9,0,0,82,1,44,0,1,0,1,37,81,2,39,1,43,28,55,0,83,83,0,0,83,2018,47
98,2018_48,29,36,31,15,1,0,13,0,5,0,1,64,0,35,0,0,2,2,26,64,1,22,1,42,17,48,0,65,65,0,0,65,2018,48
99,2018_49,36,55,32,29,3,0,17,1,9,4,0,87,0,51,1,0,0,1,38,91,0,34,0,57,31,60,0,91,91,0,0,91,2018,49
100,2018_50,44,37,37,16,2,0,16,1,9,2,0,79,0,44,1,2,1,0,33,79,2,30,0,51,20,61,1,80,81,0,0,81,2018,50
101,2018_51,28,28,22,17,2,1,10,1,3,0,1,55,0,24,0,2,0,3,27,56,0,21,0,35,12,44,0,56,56,0,0,56,2018,51
102,2018_52,12,30,23,9,1,0,5,0,4,0,0,42,0,19,0,0,0,2,21,42,0,13,0,29,11,31,0,42,42,0,0,42,2018,52
103,2019_1,21,29,30,11,0,0,9,0,0,0,0,50,0,21,0,1,0,0,28,50,0,21,0,29,6,44,0,50,50,0,0,50,2019,1
104,2019_2,15,20,15,11,0,0,7,0,2,0,0,35,0,28,0,0,0,0,7,35,0,13,0,22,12,23,0,35,34,1,0,35,2019,2
105,2019_3,27,26,23,10,0,0,13,0,7,0,0,53,0,29,0,0,0,3,21,52,1,18,0,35,15,38,0,53,52,1,0,53,2019,3
106,2019_4,26,23,22,9,3,0,12,0,3,0,0,49,0,21,0,3,0,1,24,49,0,19,0,30,7,42,0,49,49,0,0,49,2019,4
107,2019_5,15,16,15,7,0,0,6,0,3,0,1,30,0,9,0,1,0,0,21,30,1,11,0,20,8,23,0,31,31,0,0,31,2019,5
108,2019_6,13,12,18,3,0,0,4,0,0,0,0,25,0,13,0,2,0,1,9,25,0,12,0,13,7,18,0,25,25,0,0,25,2019,6
109,2019_7,9,17,9,5,0,0,8,0,4,0,0,26,0,13,0,0,1,0,12,26,0,11,0,15,6,20,0,26,26,0,0,26,2019,7
110,2019_8,7,6,5,4,1,0,1,0,2,0,0,13,0,9,0,0,0,0,4,13,0,3,0,10,4,9,0,13,13,0,0,13,2019,8
111,2019_9,12,2,5,4,0,0,1,2,2,0,0,14,0,4,0,0,0,1,9,13,1,3,0,11,3,11,0,14,14,0,0,14,2019,9
112,2019_10,6,5,4,5,0,0,1,0,1,0,0,11,0,7,0,0,0,0,4,11,0,3,0,8,2,9,0,11,11,0,0,11,2019,10
113,2019_11,6,5,2,5,0,0,1,0,3,0,0,11,0,7,0,0,0,0,4,10,1,4,0,7,1,10,0,11,11,0,0,11,2019,11
114,2019_12,8,2,2,6,0,0,0,0,2,0,0,10,0,5,0,0,0,0,5,10,0,3,0,7,0,10,0,10,9,1,0,10,2019,12
115,2019_13,3,4,1,2,1,0,1,0,2,1,0,6,0,5,0,0,0,0,2,6,1,3,0,4,2,5,0,7,7,0,0,7,2019,13
116,2019_14,4,8,4,5,0,0,2,0,1,0,0,12,0,6,0,0,1,0,5,12,0,3,0,9,3,9,0,12,12,0,0,12,2019,14
117,2019_15,2,4,2,1,1,0,1,0,1,0,0,6,0,3,0,1,0,0,2,6,0,4,0,2,2,4,0,6,6,0,0,6,2019,15
118,2019_16,0,2,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,1,0,2,0,2,2,0,0,2,2019,16
119,2019_17,2,7,4,3,0,0,1,0,1,0,0,9,0,3,0,0,0,0,6,8,1,3,0,6,3,6,0,9,9,0,0,9,2019,17
120,2019_18,4,4,5,1,0,0,1,0,1,0,0,8,0,6,0,0,0,0,2,8,0,4,0,4,5,3,0,8,8,0,0,8,2019,18
121,2019_19,3,2,0,3,0,0,0,1,1,0,0,5,0,4,0,0,0,1,0,5,0,2,0,3,2,3,0,5,5,0,0,5,2019,19
122,2019_20,3,2,2,1,1,0,0,0,1,0,0,5,0,4,0,0,0,0,1,5,0,2,0,3,1,4,0,5,5,0,0,5,2019,20
123,2019_21,2,6,3,4,0,0,1,0,0,0,0,8,0,3,0,0,0,0,5,8,0,5,0,3,4,4,0,8,8,0,0,8,2019,21
124,2019_22,3,7,2,2,1,0,3,0,2,0,0,10,0,8,0,1,0,0,1,10,0,2,0,8,6,4,0,10,10,0,0,10,2019,22
125,2019_23,4,4,3,2,0,0,1,0,2,1,0,7,0,4,0,0,0,0,4,8,0,2,0,6,4,4,0,8,8,0,0,8,2019,23
126,2019_24,7,8,5,4,0,0,6,0,0,0,0,15,0,10,0,0,0,0,5,14,1,1,0,14,9,6,1,14,15,0,0,15,2019,24
127,2019_25,2,3,0,0,0,1,0,0,4,0,0,5,0,2,0,0,0,0,3,4,1,2,0,3,0,5,0,5,5,0,0,5,2019,25
128,2019_26,3,11,3,4,0,0,5,0,2,0,0,14,0,9,0,0,0,2,3,14,0,1,0,13,6,8,0,14,14,0,0,14,2019,26
129,2019_27,9,15,11,6,0,0,4,0,3,0,0,24,0,14,0,0,0,0,10,24,0,14,0,10,13,11,0,24,23,1,0,24,2019,27
130,2019_28,15,5,6,5,2,0,6,0,1,0,0,20,0,9,0,1,0,1,9,19,1,6,1,13,3,17,0,20,19,1,0,20,2019,28
131,2019_29,8,6,7,1,0,0,2,0,4,0,0,14,0,10,0,0,0,0,4,14,0,5,0,9,2,12,0,14,14,0,0,14,2019,29
132,2019_30,4,6,2,6,0,0,2,0,0,0,0,10,0,8,0,0,0,0,2,10,0,2,0,8,3,7,0,10,10,0,0,10,2019,30
133,2019_31,7,9,5,5,0,0,6,0,0,0,0,16,0,8,0,1,1,0,6,16,0,5,0,11,3,13,0,16,16,0,0,16,2019,31
134,2019_32,9,9,9,2,2,0,4,1,0,0,0,18,0,10,0,0,1,0,7,17,1,9,0,9,6,12,0,18,18,0,0,18,2019,32
135,2019_33,4,9,3,5,0,0,4,0,1,0,0,13,0,11,0,0,0,0,2,13,0,6,0,7,4,9,0,13,13,0,0,13,2019,33
136,2019_34,4,6,4,2,0,0,3,1,0,0,0,10,0,4,0,0,0,0,6,10,0,6,0,4,5,5,0,10,10,0,0,10,2019,34
137,2019_35,5,5,5,1,0,0,2,0,2,0,0,10,0,8,0,0,0,0,2,10,0,5,0,5,4,6,0,10,10,0,0,10,2019,35
138,2019_36,7,8,6,6,1,0,1,0,1,0,0,15,0,10,0,2,0,0,3,13,2,9,0,6,5,10,0,15,15,0,0,15,2019,36
139,2019_37,12,9,6,7,1,0,4,0,3,0,0,21,0,17,0,0,0,1,3,21,0,8,0,13,10,11,0,21,21,0,0,21,2019,37
140,2019_38,11,11,8,9,1,0,4,0,0,0,0,22,0,9,0,1,0,0,12,22,0,10,0,12,11,11,0,22,22,0,0,22,2019,38
141,2019_39,7,12,10,2,1,0,5,0,1,0,0,19,0,13,0,0,0,0,6,19,0,7,0,12,11,8,0,19,19,0,0,19,2019,39
142,2019_40,15,10,5,13,0,0,4,0,3,0,0,25,0,16,0,1,0,0,8,25,0,7,0,18,16,9,0,25,25,0,0,25,2019,40
143,2019_41,17,18,11,10,0,0,12,0,2,0,0,35,0,18,0,1,0,0,16,35,0,7,1,27,15,20,0,35,34,1,0,35,2019,41
144,2019_42,15,27,19,9,1,0,10,0,3,1,0,41,0,22,0,2,0,0,18,41,1,18,0,24,19,23,0,42,42,0,0,42,2019,42
145,2019_43,30,27,18,17,0,0,10,0,12,0,0,57,0,32,0,3,1,1,20,56,1,18,0,39,25,32,0,57,57,0,0,57,2019,43
146,2019_44,47,53,39,30,0,2,21,1,7,0,0,100,0,63,0,0,2,1,34,98,2,47,0,53,33,67,0,100,100,0,0,100,2019,44
147,2019_45,50,48,47,15,2,1,26,0,7,0,0,98,0,60,0,0,0,1,37,97,1,34,0,64,31,67,0,98,97,1,0,98,2019,45
148,2019_46,43,55,49,25,1,0,13,0,10,0,0,98,0,54,0,5,0,1,38,97,1,47,0,51,31,67,0,98,97,1,0,98,2019,46
149,2019_47,60,67,56,28,2,1,28,0,12,0,0,127,0,62,0,2,1,1,61,127,0,55,0,72,38,89,0,127,127,0,0,127,2019,47
150,2019_48,56,48,44,21,0,0,29,0,10,0,0,102,2,59,0,1,0,0,44,103,1,40,0,64,39,65,0,104,103,1,0,104,2019,48
151,2019_49,63,82,63,39,3,0,28,1,11,0,0,145,0,68,1,2,1,1,72,144,1,47,0,98,30,115,0,145,144,1,0,145,2019,49
152,2019_50,90,74,79,44,0,0,31,0,10,0,0,163,1,89,0,2,0,0,73,163,1,67,0,97,45,119,0,164,164,0,0,164,2019,50
153,2019_51,59,64,61,24,3,0,28,0,7,0,0,123,0,56,0,3,0,3,61,121,2,43,0,80,47,76,0,123,123,0,0,123,2019,51
154,2019_52,63,65,69,22,0,0,26,0,11,0,0,128,0,57,0,1,1,1,68,125,3,57,0,71,36,92,0,128,128,0,0,128,2019,52
155,2020_1,52,67,71,22,0,0,18,0,8,0,0,119,0,71,0,3,1,6,38,119,0,41,1,77,34,85,0,119,119,0,0,119,2020,1
156,2020_2,57,89,72,27,3,0,31,0,13,1,0,145,0,89,0,7,1,1,48,144,2,61,0,85,51,95,0,146,146,0,0,146,2020,2
157,2020_3,44,61,49,23,2,0,16,0,15,0,1,104,0,63,0,3,3,1,35,103,2,38,0,67,36,69,0,105,105,0,0,105,2020,3
158,2020_4,42,53,45,19,0,0,17,4,10,0,2,93,0,62,0,0,1,2,30,94,1,31,0,64,35,60,0,95,95,0,0,95,2020,4
159,2020_5,32,36,32,9,3,0,18,0,6,0,0,67,1,44,0,1,0,2,21,66,2,24,0,44,27,41,0,68,68,0,0,68,2020,5
160,2020_6,34,27,24,14,1,0,17,0,5,0,0,61,0,33,0,2,0,2,24,59,2,18,0,43,23,38,0,61,61,0,0,61,2020,6
161,2020_7,20,34,20,11,1,0,13,1,8,0,0,54,0,29,0,4,2,3,16,53,1,10,0,44,22,32,0,54,54,0,0,54,2020,7
162,2020_8,15,10,12,6,0,0,5,0,2,0,0,25,0,11,0,5,2,0,7,25,0,8,0,17,9,16,0,25,25,0,0,25,2020,8
163,2020_9,6,19,10,7,2,0,2,0,4,1,0,24,0,15,0,2,0,0,8,25,0,11,0,14,10,15,0,25,25,0,0,25,2020,9
164,2020_10,8,9,7,5,3,0,0,0,2,0,0,17,0,12,0,0,1,1,3,17,0,3,0,14,8,9,0,17,17,0,0,17,2020,10
165,2020_11,4,5,2,3,1,0,2,0,1,0,0,9,0,8,0,0,0,0,1,8,1,3,0,6,5,4,0,9,9,0,0,9,2020,11
166,2020_12,6,4,3,6,0,0,0,0,1,0,0,10,0,7,0,0,1,0,2,10,0,3,0,7,5,5,0,10,10,0,0,10,2020,12
167,2020_13,4,2,0,2,2,0,2,0,0,0,0,6,0,6,0,0,0,0,0,6,0,0,0,6,4,2,0,6,6,0,0,6,2020,13
168,2020_14,1,3,0,1,0,0,2,0,1,0,0,4,0,4,0,0,0,0,0,4,0,2,0,2,1,3,0,4,4,0,0,4,2020,14
169,2020_15,3,4,4,1,0,0,1,0,1,0,0,7,0,4,0,1,0,0,2,7,0,1,1,5,3,4,0,7,7,0,0,7,2020,15
170,2020_16,3,4,2,1,0,0,2,0,2,0,0,7,0,6,0,0,0,0,1,7,0,2,0,5,6,1,0,7,7,0,0,7,2020,16
171,2020_17,2,4,4,2,0,0,0,0,0,0,0,6,0,4,0,2,0,0,0,6,0,0,1,5,4,2,0,6,6,0,0,6,2020,17
172,2020_18,3,3,4,1,0,0,0,0,1,0,0,6,0,3,0,2,0,0,1,6,0,2,0,4,3,3,0,6,6,0,0,6,2020,18
173,2020_19,3,7,5,3,1,0,1,0,0,0,0,10,0,6,0,1,0,1,2,10,0,1,0,9,7,3,0,10,10,0,0,10,2020,19
174,2020_20,2,3,0,0,1,0,3,0,1,1,0,4,0,3,0,0,1,0,1,5,0,1,0,4,2,3,0,5,5,0,0,5,2020,20
175,2020_21,1,1,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,2,0,0,0,2,0,2,0,2,2,0,0,2,2020,21
176,2020_22,2,3,0,3,1,0,0,0,1,0,0,5,0,3,0,2,0,0,0,5,0,1,0,4,2,3,0,5,5,0,0,5,2020,22
177,2020_23,3,3,0,3,1,1,1,0,0,2,0,4,0,1,0,0,0,3,2,5,1,3,0,3,4,2,0,6,6,0,0,6,2020,23
