municipio,año,periodo,num_casos
JUAN DE ACOSTA,2018,7,2
JUAN DE ACOSTA,2018,8,4
JUAN DE ACOSTA,2018,9,7
JUAN DE ACOSTA,2018,10,6
JUAN DE ACOSTA,2018,11,4
JUAN DE ACOSTA,2018,12,5
JUAN DE ACOSTA,2018,13,11
JUAN DE ACOSTA,2019,1,7
JUAN DE ACOSTA,2019,3,4
JUAN DE ACOSTA,2019,4,1
JUAN DE ACOSTA,2019,5,1
JUAN DE ACOSTA,2019,7,3
JUAN DE ACOSTA,2019,8,4
JUAN DE ACOSTA,2019,9,3
JUAN DE ACOSTA,2019,10,1
JUAN DE ACOSTA,2019,11,2
JUAN DE ACOSTA,2019,12,6
JUAN DE ACOSTA,2019,13,2
JUAN DE ACOSTA,2020,1,2
JUAN DE ACOSTA,2020,3,3
JUAN DE ACOSTA,2020,10,1
JUAN DE ACOSTA,2020,12,1
JUAN DE ACOSTA,2020,13,2
JUAN DE ACOSTA,2021,1,3
JUAN DE ACOSTA,2021,2,1
JUAN DE ACOSTA,2021,6,3
JUAN DE ACOSTA,2021,8,1
JUAN DE ACOSTA,2021,9,4
JUAN DE ACOSTA,2021,10,1
JUAN DE ACOSTA,2021,11,2
JUAN DE ACOSTA,2021,12,9
JUAN DE ACOSTA,2021,13,3
JUAN DE ACOSTA,2022,1,8
JUAN DE ACOSTA,2022,2,3
JUAN DE ACOSTA,2022,3,1
JUAN DE ACOSTA,2022,5,1
JUAN DE ACOSTA,2022,6,2
JUAN DE ACOSTA,2022,7,15
JUAN DE ACOSTA,2022,8,5
JUAN DE ACOSTA,2022,9,3
JUAN DE ACOSTA,2022,10,7
JUAN DE ACOSTA,2022,11,19
JUAN DE ACOSTA,2022,12,14
JUAN DE ACOSTA,2022,13,21
JUAN DE ACOSTA,2023,1,8
JUAN DE ACOSTA,2023,2,8
JUAN DE ACOSTA,2023,3,5
JUAN DE ACOSTA,2023,5,1
JUAN DE ACOSTA,2023,6,2
JUAN DE ACOSTA,2023,7,2
JUAN DE ACOSTA,2023,8,3
JUAN DE ACOSTA,2023,9,1
JUAN DE ACOSTA,2023,13,1
LURUACO,2018,9,2
LURUACO,2018,13,3
LURUACO,2019,2,1
LURUACO,2019,4,1
LURUACO,2019,5,1
LURUACO,2019,7,1
LURUACO,2019,8,1
LURUACO,2019,9,1
LURUACO,2019,10,3
LURUACO,2019,11,11
LURUACO,2019,12,14
LURUACO,2019,13,15
LURUACO,2020,1,19
LURUACO,2020,2,7
LURUACO,2020,3,2
LURUACO,2020,4,1
LURUACO,2020,11,1
LURUACO,2020,13,1
LURUACO,2021,1,2
LURUACO,2021,3,1
LURUACO,2021,5,1
LURUACO,2021,7,6
LURUACO,2021,8,11
LURUACO,2021,9,63
LURUACO,2021,10,53
LURUACO,2021,11,27
LURUACO,2021,12,2
LURUACO,2021,13,2
LURUACO,2022,1,3
LURUACO,2022,2,1
LURUACO,2022,3,1
LURUACO,2022,7,2
LURUACO,2022,10,1
LURUACO,2022,11,2
LURUACO,2022,12,2
LURUACO,2023,2,1
LURUACO,2023,3,1
LURUACO,2023,6,1
LURUACO,2023,10,1
LURUACO,2023,11,1
LURUACO,2023,12,1
MALAMBO,2018,1,5
MALAMBO,2018,2,7
MALAMBO,2018,3,3
MALAMBO,2018,4,6
MALAMBO,2018,5,8
MALAMBO,2018,6,14
MALAMBO,2018,7,23
MALAMBO,2018,8,17
MALAMBO,2018,9,14
MALAMBO,2018,10,11
MALAMBO,2018,11,12
MALAMBO,2018,12,19
MALAMBO,2018,13,18
MALAMBO,2019,1,20
MALAMBO,2019,2,16
MALAMBO,2019,3,10
MALAMBO,2019,4,12
MALAMBO,2019,5,7
MALAMBO,2019,6,4
MALAMBO,2019,7,7
MALAMBO,2019,8,4
MALAMBO,2019,9,5
MALAMBO,2019,10,4
MALAMBO,2019,11,15
MALAMBO,2019,12,27
MALAMBO,2019,13,33
MALAMBO,2020,1,44
MALAMBO,2020,2,33
MALAMBO,2020,3,28
MALAMBO,2020,4,14
MALAMBO,2020,5,8
MALAMBO,2020,6,4
MALAMBO,2020,7,2
MALAMBO,2020,8,2
MALAMBO,2020,9,7
MALAMBO,2020,10,21
MALAMBO,2020,11,13
MALAMBO,2020,12,16
MALAMBO,2020,13,29
MALAMBO,2021,1,21
MALAMBO,2021,2,22
MALAMBO,2021,3,29
MALAMBO,2021,4,16
MALAMBO,2021,5,9
MALAMBO,2021,6,10
MALAMBO,2021,7,27
MALAMBO,2021,8,72
MALAMBO,2021,9,122
MALAMBO,2021,10,136
MALAMBO,2021,11,122
MALAMBO,2021,12,94
MALAMBO,2021,13,50
MALAMBO,2022,1,19
MALAMBO,2022,2,11
MALAMBO,2022,3,11
MALAMBO,2022,4,7
MALAMBO,2022,5,8
MALAMBO,2022,6,10
MALAMBO,2022,7,10
MALAMBO,2022,8,13
MALAMBO,2022,9,14
MALAMBO,2022,10,23
MALAMBO,2022,11,41
MALAMBO,2022,12,34
MALAMBO,2022,13,44
MALAMBO,2023,1,28
MALAMBO,2023,2,25
MALAMBO,2023,3,24
MALAMBO,2023,4,10
MALAMBO,2023,5,5
MALAMBO,2023,6,4
MALAMBO,2023,7,8
MALAMBO,2023,8,10
MALAMBO,2023,9,14
MALAMBO,2023,10,12
MALAMBO,2023,11,6
MALAMBO,2023,12,6
MALAMBO,2023,13,6
MANATÍ,2018,1,2
MANATÍ,2018,11,2
MANATÍ,2019,3,2
MANATÍ,2019,5,4
MANATÍ,2019,7,10
MANATÍ,2019,8,10
MANATÍ,2019,9,7
MANATÍ,2019,10,3
MANATÍ,2019,11,4
MANATÍ,2019,12,8
MANATÍ,2019,13,1
MANATÍ,2020,5,1
MANATÍ,2020,8,1
MANATÍ,2020,9,1
MANATÍ,2020,10,1
MANATÍ,2020,11,1
MANATÍ,2020,12,1
MANATÍ,2021,7,1
MANATÍ,2021,8,1
MANATÍ,2021,9,1
MANATÍ,2021,10,14
MANATÍ,2021,11,15
MANATÍ,2021,12,11
MANATÍ,2021,13,5
MANATÍ,2022,1,6
MANATÍ,2022,2,4
MANATÍ,2022,3,6
MANATÍ,2022,4,4
MANATÍ,2022,5,11
MANATÍ,2022,6,25
MANATÍ,2022,7,24
MANATÍ,2022,8,29
MANATÍ,2022,9,16
MANATÍ,2022,10,9
MANATÍ,2022,11,1
MANATÍ,2022,12,2
MANATÍ,2023,1,1
MANATÍ,2023,2,1
MANATÍ,2023,3,1
MANATÍ,2023,5,1
MANATÍ,2023,7,1
MANATÍ,2023,8,2
MANATÍ,2023,9,1
MANATÍ,2023,12,1
PALMAR DE VARELA,2018,5,1
PALMAR DE VARELA,2018,11,1
PALMAR DE VARELA,2018,12,2
PALMAR DE VARELA,2018,13,2
PALMAR DE VARELA,2019,1,5
PALMAR DE VARELA,2019,2,2
PALMAR DE VARELA,2019,5,1
PALMAR DE VARELA,2019,7,5
PALMAR DE VARELA,2019,8,7
PALMAR DE VARELA,2019,11,1
PALMAR DE VARELA,2019,12,2
PALMAR DE VARELA,2020,1,3
PALMAR DE VARELA,2020,2,11
PALMAR DE VARELA,2020,3,1
PALMAR DE VARELA,2020,5,1
PALMAR DE VARELA,2021,10,2
PALMAR DE VARELA,2021,11,2
PALMAR DE VARELA,2021,12,3
PALMAR DE VARELA,2021,13,1
PALMAR DE VARELA,2022,1,1
PALMAR DE VARELA,2022,4,2
PALMAR DE VARELA,2022,8,4
PALMAR DE VARELA,2022,9,1
PALMAR DE VARELA,2022,11,1
PALMAR DE VARELA,2022,12,5
PALMAR DE VARELA,2022,13,2
PALMAR DE VARELA,2023,1,4
PALMAR DE VARELA,2023,2,3
PALMAR DE VARELA,2023,3,1
