municipio,año,periodo,num_casos
SOLEDAD,2021,8,34
SOLEDAD,2021,9,81
SOLEDAD,2021,10,186
SOLEDAD,2021,11,292
SOLEDAD,2021,12,500
SOLEDAD,2021,13,347
SOLEDAD,2022,1,184
SOLEDAD,2022,2,118
SOLEDAD,2022,3,54
SOLEDAD,2022,4,23
SOLEDAD,2022,5,17
SOLEDAD,2022,6,30
SOLEDAD,2022,7,61
SOLEDAD,2022,8,106
SOLEDAD,2022,9,136
SOLEDAD,2022,10,184
SOLEDAD,2022,11,287
SOLEDAD,2022,12,418
SOLEDAD,2022,13,507
SOLEDAD,2023,1,402
SOLEDAD,2023,2,210
SOLEDAD,2023,3,72
SOLEDAD,2023,4,32
SOLEDAD,2023,5,49
SOLEDAD,2023,6,32
SOLEDAD,2023,7,49
SOLEDAD,2023,8,102
SOLEDAD,2023,9,71
SOLEDAD,2023,10,64
SOLEDAD,2023,11,45
SOLEDAD,2023,12,68
SOLEDAD,2023,13,54
SUAN,2018,6,1
SUAN,2019,1,1
SUAN,2019,2,1
SUAN,2019,6,1
SUAN,2019,7,2
SUAN,2019,8,1
SUAN,2019,9,5
SUAN,2019,10,1
SUAN,2019,11,1
SUAN,2019,12,4
SUAN,2019,13,3
SUAN,2020,1,9
SUAN,2020,2,3
SUAN,2020,3,1
SUAN,2020,4,2
SUAN,2021,11,1
SUAN,2021,12,1
SUAN,2021,13,2
SUAN,2022,1,4
SUAN,2022,2,12
SUAN,2022,3,7
SUAN,2022,4,2
SUAN,2022,5,5
SUAN,2022,6,14
SUAN,2022,7,7
SUAN,2022,8,10
SUAN,2022,9,3
SUAN,2022,10,1
SUAN,2023,6,2
SUAN,2023,8,1
SUAN,2023,9,4
SUAN,2023,10,3
SUAN,2023,12,4
TUBARÁ,2018,7,1
TUBARÁ,2018,8,3
TUBARÁ,2018,9,2
TUBARÁ,2018,10,3
TUBARÁ,2018,11,1
TUBARÁ,2018,13,1
TUBARÁ,2019,1,1
TUBARÁ,2019,7,1
TUBARÁ,2019,11,2
TUBARÁ,2020,1,4
TUBARÁ,2020,2,10
TUBARÁ,2020,3,1
TUBARÁ,2020,6,1
TUBARÁ,2020,7,1
TUBARÁ,2021,5,1
TUBARÁ,2021,9,1
TUBARÁ,2021,11,3
TUBARÁ,2021,12,3
TUBARÁ,2021,13,1
TUBARÁ,2022,1,1
TUBARÁ,2022,2,1
TUBARÁ,2022,3,1
TUBARÁ,2022,4,1
TUBARÁ,2022,5,1
TUBARÁ,2022,7,6
TUBARÁ,2022,10,1
TUBARÁ,2022,11,7
TUBARÁ,2022,12,9
TUBARÁ,2022,13,1
TUBARÁ,2023,2,1
TUBARÁ,2023,4,1
TUBARÁ,2023,7,1
TUBARÁ,2023,12,1
USIACURÍ,2018,1,1
USIACURÍ,2018,6,1
USIACURÍ,2018,7,4
USIACURÍ,2018,8,5
USIACURÍ,2018,11,2
USIACURÍ,2018,12,3
USIACURÍ,2018,13,2
USIACURÍ,2019,2,2
USIACURÍ,2019,7,1
USIACURÍ,2019,9,3
USIACURÍ,2019,12,1
USIACURÍ,2020,2,1
USIACURÍ,2020,10,1
USIACURÍ,2021,13,2
USIACURÍ,2022,1,1
USIACURÍ,2022,5,2
USIACURÍ,2022,7,1
USIACURÍ,2022,11,2
USIACURÍ,2022,12,1
USIACURÍ,2022,13,2
USIACURÍ,2023,1,1
USIACURÍ,2023,4,2
USIACURÍ,2023,5,5
USIACURÍ,2023,6,7
USIACURÍ,2023,7,46
USIACURÍ,2023,8,62
USIACURÍ,2023,9,23
USIACURÍ,2023,10,29
USIACURÍ,2023,11,24
USIACURÍ,2023,12,11
USIACURÍ,2023,13,2
