,municipio,año,fecha,humedad,precipitacion,temp_min_C,temp_max_C,latitud,latitud,longitud,longitud
37479,PONEDERA,2021,2021-06-18,92.19110870361328,3.549999952316284,24.018273925781276,30.050866699218773,10.59465105071938,10.59465105071938,-74.79847290791345,-74.79847290791345
37480,PUERTO COLOMBIA,2021,2021-06-18,92.65837097167967,2.2799999713897705,25.421563720703148,30.018670654296898,11.00468737217774,11.00468737217774,-74.90650030692068,-74.90650030692068
37481,REPELÓN,2021,2021-06-18,91.61322360568576,1.82444441318512,23.993232557508748,29.373071289062523,10.507568372875568,10.507568372875568,-75.12187933511093,-75.12187933511093
37482,SABANAGRANDE,2021,2021-06-18,91.53841400146484,4.079999923706055,24.176080322265648,29.812921142578148,10.798940150928054,10.798940150928054,-74.76879660339148,-74.76879660339148
37483,SABANALARGA,2021,2021-06-18,92.97149658203124,2.559999942779541,23.765405273437523,29.349023437500023,10.62250793138987,10.62250793138987,-74.95510483828492,-74.95510483828492
37484,SANTA LUCÍA,2021,2021-06-18,90.75304921468098,2.299999992052714,24.419722493489644,29.850244140625023,10.35364191997005,10.35364191997005,-74.96541178661992,-74.96541178661992
37485,SANTO TOMÁS,2021,2021-06-18,92.25906372070312,4.079999923706055,23.864648437500023,29.669447835286466,10.744048200714978,10.744048200714978,-74.79479581261772,-74.79479581261772
37486,SOLEDAD,2021,2021-06-18,92.40969848632812,2.2799999713897705,25.146661376953148,30.81282958984372,10.906909741834337,10.906909741834337,-74.77842447604834,-74.77842447604834
37487,SUAN,2021,2021-06-18,92.20841217041016,3.0199999809265137,24.345849609375023,29.902062988281276,10.310850238176537,10.310850238176537,-74.90713309116475,-74.90713309116475
37488,TUBARÁ,2021,2021-06-18,94.0921859741211,1.5399999618530271,24.897637939453148,29.253533935546898,10.907060348938533,10.907060348938533,-74.98448392990626,-74.98448392990626
37489,USIACURÍ,2021,2021-06-18,93.32391357421876,2.559999942779541,23.561425781250023,29.183068847656276,10.740522656584362,10.740522656584362,-74.98267412624779,-74.98267412624779
37491,BARANOA,2021,2021-06-19,91.0417022705078,3.859999895095825,24.224389648437523,30.1516052246094,10.793293658378715,10.793293658378715,-74.92219640305643,-74.92219640305643
