municipio,periodo_global,REM
JUAN DE ACOSTA,11,1.11961144601977
JUAN DE ACOSTA,12,1.05370168066086
JUAN DE ACOSTA,13,2.17149492608947
JUAN DE ACOSTA,14,1.56090608449851
JUAN DE ACOSTA,16,3.46024844525508
JUAN DE ACOSTA,17,1.20768751214091
JUAN DE ACOSTA,18,0.979614069945613
JUAN DE ACOSTA,20,1.48169827308353
JUAN DE ACOSTA,21,1.57002809767483
JUAN DE ACOSTA,22,1.20929518315939
JUAN DE ACOSTA,23,0.483296952756785
JUAN DE ACOSTA,24,0.585429816062804
JUAN DE ACOSTA,25,1.1461870511
JUAN DE ACOSTA,26,0.292449516532513
JUAN DE ACOSTA,27,0.269179389312977
JUAN DE ACOSTA,29,1.70439412406184
JUAN DE ACOSTA,36,0.945890517206189
JUAN DE ACOSTA,38,0.791814941625505
JUAN DE ACOSTA,39,0.806740245314679
JUAN DE ACOSTA,40,1.93702180820394
JUAN DE ACOSTA,41,0.843718921785954
JUAN DE ACOSTA,45,4.56052839810093
JUAN DE ACOSTA,47,0.392807844959682
JUAN DE ACOSTA,48,0.701565087672722
JUAN DE ACOSTA,49,0.122264386771157
JUAN DE ACOSTA,50,0.210063644178731
JUAN DE ACOSTA,51,0.725647668509992
JUAN DE ACOSTA,52,0.340780278153766
JUAN DE ACOSTA,53,1.57608024847837
JUAN DE ACOSTA,54,0.834008291672437
JUAN DE ACOSTA,55,0.523737526459026
JUAN DE ACOSTA,57,0.655820477571131
JUAN DE ACOSTA,58,0.542934036027474
JUAN DE ACOSTA,59,3.18643431064594
JUAN DE ACOSTA,60,0.744976564862413
JUAN DE ACOSTA,61,0.535311533380146
JUAN DE ACOSTA,62,1.16631635149287
JUAN DE ACOSTA,63,2.12782487865316
JUAN DE ACOSTA,64,1.39707295227232
JUAN DE ACOSTA,65,1.72343148806607
JUAN DE ACOSTA,66,0.91804313741763
JUAN DE ACOSTA,67,1.6014074661302
JUAN DE ACOSTA,68,2.34995073960223
JUAN DE ACOSTA,70,0.690211770846393
JUAN DE ACOSTA,71,1.88183368840724
JUAN DE ACOSTA,72,0.898584492461244
JUAN DE ACOSTA,73,0.760144773652673
JUAN DE ACOSTA,74,0.384312651489078
JUAN DE ACOSTA,78,0.554622898867961
LURUACO,9,0.739670215169226
LURUACO,13,0.441547041388846
LURUACO,15,0.326835758963001
LURUACO,17,0.897897184294251
LURUACO,18,0.728328070180929
LURUACO,20,0.367206663975761
LURUACO,21,0.291822966204648
LURUACO,22,0.299697487698216
LURUACO,23,1.07797166575573
LURUACO,24,2.39391960244802
LURUACO,25,1.98840257615691
LURUACO,26,1.63073805187355
LURUACO,27,1.89823464217859
LURUACO,28,1.19634423038612
LURUACO,29,0.843457599032413
LURUACO,30,1.06966524539272
LURUACO,37,0.689357973781826
LURUACO,39,0.299425106882402
LURUACO,40,0.956454315610616
LURUACO,42,0.629077707692626
LURUACO,44,1.74627065172128
LURUACO,46,3.44661869566633
LURUACO,47,3.20032303677828
LURUACO,48,8.1840732320669
LURUACO,49,4.79950914350029
LURUACO,50,2.10041757561944
LURUACO,51,0.119435730532242
LURUACO,52,0.168269023267929
LURUACO,53,0.436907412646005
LURUACO,54,0.205508094565174
LURUACO,55,0.387162701580712
LURUACO,59,0.314067881663283
LURUACO,62,0.123168071990641
LURUACO,63,0.165573982927106
LURUACO,64,0.147536971201167
LURUACO,67,0.148007233662682
LURUACO,68,0.347504020625138
LURUACO,71,0.695700511769068
LURUACO,75,0.26882162505404
LURUACO,76,0.389318903210845
LURUACO,77,0.310202015849162
MALAMBO,1,0.2760758586777
MALAMBO,2,0.562146844876611
MALAMBO,3,0.645634596817599
MALAMBO,4,1.63562658295067
