municipio,año,periodo,semana,temp_media,humedad,precipitacion
BARANOA,2017,11,44,26.64185485839846,92.18362644740513,3.90428572680269
BARANOA,2017,12,45,26.323205566406273,94.49259294782367,9.538571425846644
BARANOA,2017,12,46,26.02414637974332,94.03947012765067,7.547142965453012
BARANOA,2017,12,47,26.282573590959835,95.31138392857143,7.569999865123203
BARANOA,2017,12,48,27.169141932896228,94.12630462646484,18.12000002179827
BARANOA,2017,13,49,27.292123413085957,91.811037336077,10.729999948825155
BARANOA,2017,13,50,26.54934735979355,92.82023511614118,3.0142857347215926
BARANOA,2017,13,51,27.097347150530158,87.23187473842076,0.42857142857142855
BARANOA,2017,13,52,26.71038643973216,90.4860120500837,4.84857143674578
BARANOA,2017,14,53,26.05671081542971,93.67735290527344,2.4200000762939453
BARANOA,2018,1,1,26.261213466099345,94.04009573800224,5.9699998668261935
BARANOA,2018,1,2,26.513855416434172,94.93966020856585,3.5942856754575456
BARANOA,2018,1,3,27.012264142717658,91.02991485595703,1.0385714250483684
BARANOA,2018,1,4,27.51266305106029,87.7582778930664,0.0
BARANOA,2018,2,5,27.419643293108273,85.01695578438895,0.0
BARANOA,2018,2,6,27.255456542968773,83.85524422781808,0.02142857228006634
BARANOA,2018,2,7,27.077874755859398,82.76981571742466,0.021428571747882003
BARANOA,2018,2,8,26.811798531668547,83.15975625174386,0.0442857156906809
BARANOA,2018,3,9,26.342558070591537,87.78051648821149,0.025714285671710944
BARANOA,2018,3,10,27.726517159598238,86.89263044084821,0.06428571471146173
BARANOA,2018,3,11,28.04026620047435,88.35003008161273,0.811428584956697
BARANOA,2018,3,12,27.469620186941984,86.66352081298828,0.35142858273216654
BARANOA,2018,4,13,27.6586373465402,83.12494659423828,0.2585714283798422
BARANOA,2018,4,14,27.30652770996096,88.55216217041016,2.5928571224212646
BARANOA,2018,4,15,27.276938738141762,90.54581015450614,7.245714349406106
BARANOA,2018,4,16,28.08100716727122,88.13280051095145,2.8185714270387376
BARANOA,2018,5,17,27.402409580775693,91.34185791015625,8.601428534303393
BARANOA,2018,5,18,27.12718026297435,90.8925279889788,9.129999910082136
BARANOA,2018,5,19,26.948624093191984,92.46624537876674,16.869999749319895
BARANOA,2018,5,20,26.793315778459846,92.314206804548,11.804285730634417
BARANOA,2018,6,21,26.902775791713186,92.88048117501395,14.741428783961705
BARANOA,2018,6,22,27.401160539899575,92.24214172363281,10.02857175043651
BARANOA,2018,6,23,27.955636596679707,91.12848663330078,4.411428553717477
BARANOA,2018,6,24,27.35230625697547,92.23223549979073,9.869999804667064
BARANOA,2018,7,25,26.92233101981029,92.93767874581474,6.555714266640799
BARANOA,2018,7,26,27.14750061035158,92.08117130824498,5.704285723822458
BARANOA,2018,7,27,27.564444841657384,90.00616891043526,2.3585714995861053
BARANOA,2018,7,28,28.099845232282384,89.26816776820591,2.052857086594616
BARANOA,2018,8,29,28.036660766601585,89.51269640241351,1.932857130255018
BARANOA,2018,8,30,26.9319767543248,93.52066476004464,11.608571393149239
BARANOA,2018,8,31,26.792886352539085,94.48639133998326,9.477142589432853
BARANOA,2018,8,32,28.142611258370557,89.92407989501953,0.36285713581102236
