municipio,año,fecha,precipitacion
JUAN DE ACOSTA,2017,2017-01-12,0.0
LURUACO,2017,2017-01-12,0.0
MALAMBO,2017,2017-01-12,0.0
MANATÍ,2017,2017-01-12,0.0
PALMAR DE VARELA,2017,2017-01-12,0.0
PIOJÓ,2017,2017-01-12,0.0
POLONUEVO,2017,2017-01-12,0.0
PONEDERA,2017,2017-01-12,0.0
PUERTO COLOMBIA,2017,2017-01-12,0.0
REPELÓN,2017,2017-01-12,0.0
SABANAGRANDE,2017,2017-01-12,0.0
SABANALARGA,2017,2017-01-12,0.0
SANTA LUCÍA,2017,2017-01-12,0.0
SANTO TOMÁS,2017,2017-01-12,0.0
SOLEDAD,2017,2017-01-12,0.0
SUAN,2017,2017-01-12,0.0
TUBARÁ,2017,2017-01-12,0.0
USIACURÍ,2017,2017-01-12,0.0
BARRANQUILLA,2017,2017-01-13,0.0
BARANOA,2017,2017-01-13,0.0
CAMPO DE LA CRUZ,2017,2017-01-13,0.0
CANDELARIA,2017,2017-01-13,0.0
GALAPA,2017,2017-01-13,0.0
JUAN DE ACOSTA,2017,2017-01-13,0.0
LURUACO,2017,2017-01-13,0.0
MALAMBO,2017,2017-01-13,0.0
MANATÍ,2017,2017-01-13,0.0
PALMAR DE VARELA,2017,2017-01-13,0.0
PIOJÓ,2017,2017-01-13,0.0
POLONUEVO,2017,2017-01-13,0.0
PONEDERA,2017,2017-01-13,0.0
PUERTO COLOMBIA,2017,2017-01-13,0.0
REPELÓN,2017,2017-01-13,0.0
SABANAGRANDE,2017,2017-01-13,0.0
SABANALARGA,2017,2017-01-13,0.0
SANTA LUCÍA,2017,2017-01-13,0.0
SANTO TOMÁS,2017,2017-01-13,0.0
SOLEDAD,2017,2017-01-13,0.0
SUAN,2017,2017-01-13,0.0
TUBARÁ,2017,2017-01-13,0.0
USIACURÍ,2017,2017-01-13,0.0
BARRANQUILLA,2017,2017-01-14,0.0
BARANOA,2017,2017-01-14,0.0
CAMPO DE LA CRUZ,2017,2017-01-14,0.0
CANDELARIA,2017,2017-01-14,0.0
GALAPA,2017,2017-01-14,0.0
JUAN DE ACOSTA,2017,2017-01-14,2.0
LURUACO,2017,2017-01-14,1.0
MALAMBO,2017,2017-01-14,0.0
MANATÍ,2017,2017-01-14,4.0
PALMAR DE VARELA,2017,2017-01-14,0.0
PIOJÓ,2017,2017-01-14,0.6666666666666666
POLONUEVO,2017,2017-01-14,0.0
PONEDERA,2017,2017-01-14,0.0
PUERTO COLOMBIA,2017,2017-01-14,0.0
REPELÓN,2017,2017-01-14,2.0
SABANAGRANDE,2017,2017-01-14,0.0
SABANALARGA,2017,2017-01-14,1.0
SANTA LUCÍA,2017,2017-01-14,1.3333333333333333
SANTO TOMÁS,2017,2017-01-14,0.0
SOLEDAD,2017,2017-01-14,0.0
SUAN,2017,2017-01-14,0.0
TUBARÁ,2017,2017-01-14,0.0
USIACURÍ,2017,2017-01-14,1.0
BARRANQUILLA,2017,2017-01-15,0.0
BARANOA,2017,2017-01-15,9.0
CAMPO DE LA CRUZ,2017,2017-01-15,10.0
CANDELARIA,2017,2017-01-15,10.0
GALAPA,2017,2017-01-15,0.0
JUAN DE ACOSTA,2017,2017-01-15,0.0
LURUACO,2017,2017-01-15,0.0
MALAMBO,2017,2017-01-15,3.0
MANATÍ,2017,2017-01-15,0.0
PALMAR DE VARELA,2017,2017-01-15,9.0
PIOJÓ,2017,2017-01-15,0.0
POLONUEVO,2017,2017-01-15,9.0
PONEDERA,2017,2017-01-15,9.5
PUERTO COLOMBIA,2017,2017-01-15,0.0
REPELÓN,2017,2017-01-15,0.0
SABANAGRANDE,2017,2017-01-15,9.0
SABANALARGA,2017,2017-01-15,4.5
SANTA LUCÍA,2017,2017-01-15,6.666666666666667
SANTO TOMÁS,2017,2017-01-15,9.0
SOLEDAD,2017,2017-01-15,0.0
SUAN,2017,2017-01-15,10.0
TUBARÁ,2017,2017-01-15,0.0
USIACURÍ,2017,2017-01-15,4.5
BARRANQUILLA,2017,2017-01-16,0.0
BARANOA,2017,2017-01-16,0.0
CAMPO DE LA CRUZ,2017,2017-01-16,0.0
CANDELARIA,2017,2017-01-16,0.0
GALAPA,2017,2017-01-16,0.0
JUAN DE ACOSTA,2017,2017-01-16,1.0
LURUACO,2017,2017-01-16,0.5
MALAMBO,2017,2017-01-16,0.0
MANATÍ,2017,2017-01-16,1.0
PALMAR DE VARELA,2017,2017-01-16,0.0
PIOJÓ,2017,2017-01-16,0.3333333333333333
POLONUEVO,2017,2017-01-16,0.0
PONEDERA,2017,2017-01-16,0.0
PUERTO COLOMBIA,2017,2017-01-16,0.0
REPELÓN,2017,2017-01-16,0.5
SABANAGRANDE,2017,2017-01-16,0.0
SABANALARGA,2017,2017-01-16,0.5
SANTA LUCÍA,2017,2017-01-16,0.3333333333333333
SANTO TOMÁS,2017,2017-01-16,0.0
SOLEDAD,2017,2017-01-16,0.0
SUAN,2017,2017-01-16,0.0
TUBARÁ,2017,2017-01-16,0.0
USIACURÍ,2017,2017-01-16,0.5
BARRANQUILLA,2017,2017-01-17,0.0
BARANOA,2017,2017-01-17,0.0
CAMPO DE LA CRUZ,2017,2017-01-17,0.0
CANDELARIA,2017,2017-01-17,0.0
GALAPA,2017,2017-01-17,0.0
JUAN DE ACOSTA,2017,2017-01-17,0.0
LURUACO,2017,2017-01-17,0.0
MALAMBO,2017,2017-01-17,0.0
MANATÍ,2017,2017-01-17,19.0
PALMAR DE VARELA,2017,2017-01-17,0.0
PIOJÓ,2017,2017-01-17,0.0
POLONUEVO,2017,2017-01-17,0.0
PONEDERA,2017,2017-01-17,0.0
PUERTO COLOMBIA,2017,2017-01-17,0.0
REPELÓN,2017,2017-01-17,9.5
SABANAGRANDE,2017,2017-01-17,0.0
SABANALARGA,2017,2017-01-17,0.0
SANTA LUCÍA,2017,2017-01-17,6.333333333333333
SANTO TOMÁS,2017,2017-01-17,0.0
SOLEDAD,2017,2017-01-17,0.0
SUAN,2017,2017-01-17,0.0
TUBARÁ,2017,2017-01-17,0.0
USIACURÍ,2017,2017-01-17,0.0
BARRANQUILLA,2017,2017-01-18,0.0
BARANOA,2017,2017-01-18,2.0
CAMPO DE LA CRUZ,2017,2017-01-18,2.0
CANDELARIA,2017,2017-01-18,2.0
GALAPA,2017,2017-01-18,0.0
JUAN DE ACOSTA,2017,2017-01-18,0.0
LURUACO,2017,2017-01-18,0.0
MALAMBO,2017,2017-01-18,0.6666666666666666
MANATÍ,2017,2017-01-18,0.0
PALMAR DE VARELA,2017,2017-01-18,2.0
PIOJÓ,2017,2017-01-18,0.0
POLONUEVO,2017,2017-01-18,2.0
PONEDERA,2017,2017-01-18,2.0
PUERTO COLOMBIA,2017,2017-01-18,0.0
REPELÓN,2017,2017-01-18,0.0
SABANAGRANDE,2017,2017-01-18,2.0
SABANALARGA,2017,2017-01-18,1.0
SANTA LUCÍA,2017,2017-01-18,1.3333333333333333
SANTO TOMÁS,2017,2017-01-18,2.0
SOLEDAD,2017,2017-01-18,0.0
SUAN,2017,2017-01-18,2.0
TUBARÁ,2017,2017-01-18,0.0
USIACURÍ,2017,2017-01-18,1.0
BARRANQUILLA,2017,2017-01-19,0.0
BARANOA,2017,2017-01-19,0.0
CAMPO DE LA CRUZ,2017,2017-01-19,0.0
CANDELARIA,2017,2017-01-19,0.0
GALAPA,2017,2017-01-19,0.0
JUAN DE ACOSTA,2017,2017-01-19,0.0
LURUACO,2017,2017-01-19,0.0
MALAMBO,2017,2017-01-19,0.0
MANATÍ,2017,2017-01-19,0.0
PALMAR DE VARELA,2017,2017-01-19,0.0
PIOJÓ,2017,2017-01-19,0.0
POLONUEVO,2017,2017-01-19,0.0
PONEDERA,2017,2017-01-19,0.0
PUERTO COLOMBIA,2017,2017-01-19,0.0
REPELÓN,2017,2017-01-19,0.0
SABANAGRANDE,2017,2017-01-19,0.0
SABANALARGA,2017,2017-01-19,0.0
SANTA LUCÍA,2017,2017-01-19,0.0
SANTO TOMÁS,2017,2017-01-19,0.0
SOLEDAD,2017,2017-01-19,0.0
SUAN,2017,2017-01-19,0.0
TUBARÁ,2017,2017-01-19,0.0
USIACURÍ,2017,2017-01-19,0.0
BARRANQUILLA,2017,2017-01-20,0.0
BARANOA,2017,2017-01-20,0.0
CAMPO DE LA CRUZ,2017,2017-01-20,0.0
CANDELARIA,2017,2017-01-20,0.0
GALAPA,2017,2017-01-20,0.0
JUAN DE ACOSTA,2017,2017-01-20,1.0
LURUACO,2017,2017-01-20,0.5
MALAMBO,2017,2017-01-20,0.0
MANATÍ,2017,2017-01-20,1.0
PALMAR DE VARELA,2017,2017-01-20,0.0
PIOJÓ,2017,2017-01-20,0.3333333333333333
POLONUEVO,2017,2017-01-20,0.0
PONEDERA,2017,2017-01-20,0.0
PUERTO COLOMBIA,2017,2017-01-20,0.0
REPELÓN,2017,2017-01-20,0.5
SABANAGRANDE,2017,2017-01-20,0.0
SABANALARGA,2017,2017-01-20,0.5
SANTA LUCÍA,2017,2017-01-20,0.3333333333333333
SANTO TOMÁS,2017,2017-01-20,0.0
SOLEDAD,2017,2017-01-20,0.0
SUAN,2017,2017-01-20,0.0
TUBARÁ,2017,2017-01-20,0.0
USIACURÍ,2017,2017-01-20,0.5
BARRANQUILLA,2017,2017-01-21,12.0
BARANOA,2017,2017-01-21,16.0
CAMPO DE LA CRUZ,2017,2017-01-21,3.0
CANDELARIA,2017,2017-01-21,3.0
GALAPA,2017,2017-01-21,12.0
JUAN DE ACOSTA,2017,2017-01-21,5.0
LURUACO,2017,2017-01-21,2.5
MALAMBO,2017,2017-01-21,13.333333333333334
MANATÍ,2017,2017-01-21,3.0
PALMAR DE VARELA,2017,2017-01-21,16.0
PIOJÓ,2017,2017-01-21,1.6666666666666667
POLONUEVO,2017,2017-01-21,16.0
PONEDERA,2017,2017-01-21,9.5
PUERTO COLOMBIA,2017,2017-01-21,12.0
REPELÓN,2017,2017-01-21,1.5
SABANAGRANDE,2017,2017-01-21,16.0
SABANALARGA,2017,2017-01-21,10.5
SANTA LUCÍA,2017,2017-01-21,3.0
SANTO TOMÁS,2017,2017-01-21,16.0
SOLEDAD,2017,2017-01-21,12.0
SUAN,2017,2017-01-21,3.0
TUBARÁ,2017,2017-01-21,3.0
USIACURÍ,2017,2017-01-21,10.5
BARRANQUILLA,2017,2017-01-22,1.0
BARANOA,2017,2017-01-22,1.0
CAMPO DE LA CRUZ,2017,2017-01-22,0.0
CANDELARIA,2017,2017-01-22,0.0
GALAPA,2017,2017-01-22,1.0
JUAN DE ACOSTA,2017,2017-01-22,0.0
LURUACO,2017,2017-01-22,0.0
MALAMBO,2017,2017-01-22,1.0
MANATÍ,2017,2017-01-22,0.0
PALMAR DE VARELA,2017,2017-01-22,1.0
PIOJÓ,2017,2017-01-22,0.0
POLONUEVO,2017,2017-01-22,1.0
PONEDERA,2017,2017-01-22,0.5
PUERTO COLOMBIA,2017,2017-01-22,1.0
REPELÓN,2017,2017-01-22,0.0
SABANAGRANDE,2017,2017-01-22,1.0
SABANALARGA,2017,2017-01-22,0.5
SANTA LUCÍA,2017,2017-01-22,0.0
SANTO TOMÁS,2017,2017-01-22,1.0
SOLEDAD,2017,2017-01-22,1.0
SUAN,2017,2017-01-22,0.0
TUBARÁ,2017,2017-01-22,0.0
USIACURÍ,2017,2017-01-22,0.5
BARRANQUILLA,2017,2017-01-23,0.0
BARANOA,2017,2017-01-23,0.0
CAMPO DE LA CRUZ,2017,2017-01-23,0.0
CANDELARIA,2017,2017-01-23,0.0
GALAPA,2017,2017-01-23,0.0
JUAN DE ACOSTA,2017,2017-01-23,0.0
LURUACO,2017,2017-01-23,0.0
MALAMBO,2017,2017-01-23,0.0
MANATÍ,2017,2017-01-23,0.0
PALMAR DE VARELA,2017,2017-01-23,0.0
PIOJÓ,2017,2017-01-23,0.0
POLONUEVO,2017,2017-01-23,0.0
PONEDERA,2017,2017-01-23,0.0
PUERTO COLOMBIA,2017,2017-01-23,0.0
REPELÓN,2017,2017-01-23,0.0
SABANAGRANDE,2017,2017-01-23,0.0
SABANALARGA,2017,2017-01-23,0.0
SANTA LUCÍA,2017,2017-01-23,0.0
SANTO TOMÁS,2017,2017-01-23,0.0
SOLEDAD,2017,2017-01-23,0.0
SUAN,2017,2017-01-23,0.0
TUBARÁ,2017,2017-01-23,0.0
USIACURÍ,2017,2017-01-23,0.0
BARRANQUILLA,2017,2017-01-24,0.0
BARANOA,2017,2017-01-24,0.0
CAMPO DE LA CRUZ,2017,2017-01-24,0.0
CANDELARIA,2017,2017-01-24,0.0
GALAPA,2017,2017-01-24,0.0
JUAN DE ACOSTA,2017,2017-01-24,1.0
LURUACO,2017,2017-01-24,0.5
MALAMBO,2017,2017-01-24,0.0
MANATÍ,2017,2017-01-24,1.0
PALMAR DE VARELA,2017,2017-01-24,0.0
PIOJÓ,2017,2017-01-24,0.3333333333333333
POLONUEVO,2017,2017-01-24,0.0
PONEDERA,2017,2017-01-24,0.0
PUERTO COLOMBIA,2017,2017-01-24,0.0
REPELÓN,2017,2017-01-24,0.5
SABANAGRANDE,2017,2017-01-24,0.0
SABANALARGA,2017,2017-01-24,0.5
SANTA LUCÍA,2017,2017-01-24,0.3333333333333333
SANTO TOMÁS,2017,2017-01-24,0.0
SOLEDAD,2017,2017-01-24,0.0
SUAN,2017,2017-01-24,0.0
TUBARÁ,2017,2017-01-24,0.0
USIACURÍ,2017,2017-01-24,0.5
BARRANQUILLA,2017,2017-01-25,0.0
BARANOA,2017,2017-01-25,0.0
CAMPO DE LA CRUZ,2017,2017-01-25,0.0
CANDELARIA,2017,2017-01-25,0.0
GALAPA,2017,2017-01-25,0.0
JUAN DE ACOSTA,2017,2017-01-25,0.0
LURUACO,2017,2017-01-25,0.0
MALAMBO,2017,2017-01-25,0.0
MANATÍ,2017,2017-01-25,0.0
PALMAR DE VARELA,2017,2017-01-25,0.0
PIOJÓ,2017,2017-01-25,0.0
POLONUEVO,2017,2017-01-25,0.0
PONEDERA,2017,2017-01-25,0.0
PUERTO COLOMBIA,2017,2017-01-25,0.0
REPELÓN,2017,2017-01-25,0.0
SABANAGRANDE,2017,2017-01-25,0.0
SABANALARGA,2017,2017-01-25,0.0
SANTA LUCÍA,2017,2017-01-25,0.0
SANTO TOMÁS,2017,2017-01-25,0.0
SOLEDAD,2017,2017-01-25,0.0
SUAN,2017,2017-01-25,0.0
TUBARÁ,2017,2017-01-25,0.0
USIACURÍ,2017,2017-01-25,0.0
BARRANQUILLA,2017,2017-01-26,0.0
BARANOA,2017,2017-01-26,0.0
CAMPO DE LA CRUZ,2017,2017-01-26,0.0
CANDELARIA,2017,2017-01-26,0.0
GALAPA,2017,2017-01-26,0.0
JUAN DE ACOSTA,2017,2017-01-26,0.0
LURUACO,2017,2017-01-26,0.0
MALAMBO,2017,2017-01-26,0.0
MANATÍ,2017,2017-01-26,0.0
PALMAR DE VARELA,2017,2017-01-26,0.0
PIOJÓ,2017,2017-01-26,0.0
POLONUEVO,2017,2017-01-26,0.0
PONEDERA,2017,2017-01-26,0.0
PUERTO COLOMBIA,2017,2017-01-26,0.0
